title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Nhà riêng tại đường Giải Phóng	pr42598050	36.0	7.6	4	5	2	20.9692925176557	105.841587232878	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Sky Park Residence	pr38484478	133.0	12.5	3	2	2	21.0272464752197	105.786010742188	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại Hinode Royal Park	pr40812745	100.0	15.3	5	5	1	21.0555060059625	105.715781343816	Hoài Đức	Hà Nội
Căn hộ chung cư tại The Matrix One	pr42588418	115.0	12.5	3	2	2	21.008969323071433	105.77343022336868	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Times Tower Lê Văn Lương	pr42623180	128.0	9.2	3	2	2	21.0026300406076	105.802111709278	Thanh Xuân	Hà Nội
Nhà riêng tại phố Phùng Chí Kiên	pr42590118	44.0	15.8	3	5	2	21.0431938389284	105.802682123987	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Mandarin Garden	pr42379941	168.0	15.624	3	2	2	21.004656652495516	105.79945946796786	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Viha Complex	pr41071732	93.44	9.32	3	3	2	20.997587	105.80383	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Vinhomes Skylake	pr41131506	96.0	12.0	3	2	2	21.020378828260956	105.78053390174549	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Chùa Bộc	pr42632334	30.0	8.8	4	3	2	21.0079899058385	105.827832546156	Đống Đa	Hà Nội
Nhà riêng tại phố Phạm Tuấn Tài	pr39547279	68.0	18.0	6	6	2	21.043684	105.7863369	Cầu Giấy	Hà Nội
Nhà riêng tại đường Tôn Thất Tùng	pr42594954	38.0	7.5	6	5	2	21.0020449436675	105.829603288738	Đống Đa	Hà Nội
Nhà riêng tại đường Yên Lãng	pr42579088	69.0	9.68	5	4	2	21.0110347366777	105.81625884706	Đống Đa	Hà Nội
Nhà riêng tại đường Đàm Quang Trung	pr42597229	30.0	7.38	3	5	2	21.0319060364264	105.900768350109	Long Biên	Hà Nội
Nhà riêng tại đường Hoàng Hoa Thám	pr41944255	40.0	8.9	4	5	2	21.0395132578633	105.828293614134	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại Xuân Phương Tasco	pr41600783	90.0	19.8	4	4	2	21.0245187930699	105.741351001347	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Capital Elite	pr42353498	119.0	10.35	3	2	2	21.018732195432516	105.78120548048928	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Chung cư Han Jardin	pr42573604	142.0	16.756	4	2	1	21.06302229504923	105.79760665020444	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Phạm Văn Đồng	pr42597276	50.0	18.3	6	4	2	21.0727337858639	105.785469964045	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phường Vĩnh Tuy	pr42584508	56.0	17.2	3	4	2	20.9991765053674	105.871623832936	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Bờ Sông Sét	pr42389652	50.0	11.75	1	1	2	20.9831443313734	105.844995701338	Hoàng Mai	Hà Nội
Nhà riêng tại đường Đặng Văn Ngữ	pr41631986	42.0	7.2	3	4	2	21.0118013852336	105.831860163093	Đống Đa	Hà Nội
